id	caption_0	caption_1	tag	secondary_tag	num_main_preds	collapsed_tag
161	the child is throwing the adult the ball	the adult is throwing the child the ball	Noun		1	Object
162	a person underneath lights	lights underneath a person	Noun Phrase		1	Object
163	some green on the ball	the ball on some green	Determiner-Numeral, Noun Phrase		1	Object
164	mind in the clouds	clouds in the mind	Noun	Symbolic	1	Object
165	there's a phone on a map	there's a map on a phone	Noun		1	Object
166	a person on a rock next to a dog	a dog on a rock next to a person	Noun		1	Object
167	an adult is flexing beside a child	a child is flexing beside an adult	Noun		1	Object
168	the person is looking at the dog	the dog is looking at the person	Noun		1	Object
169	a cat is underneath a red blanket	a red blanket is underneath a cat	Noun Phrase		1	Object
170	the person is bigger than the house	the house is bigger than the person	Noun		1	Object
171	the person is underneath the car	the car is underneath the person	Noun		1	Object
172	the water is filled with plastic	the plastic is filled with water	Noun		1	Object
173	an apple is on a target	a target is on an apple	Noun		1	Object
174	plant made out of a light bulb	light bulb made out of a plant	Noun	Symbolic	1	Object
175	parent pointing at child	child pointing at parent	Noun		1	Object
176	the person reached the base before the ball	the ball reached the base before the person	Noun		1	Object
177	ice being dumped on top of fish	fish being dumped on top of ice	Noun		1	Object
178	an adult kisses a child	a child kisses an adult	Noun		1	Object
179	there's a dog in a mask and a person beside it	there's a dog and a person in a mask beside it	Preposition Phrase, Scope		2	Relation
180	the baby on the phone is next to an adult	the baby is next to an adult on the phone	Preposition Phrase, Scope	Pragmatics	1	Relation
181	the person on the left has their arms up and the person on the right has their arms down	the person on the right has their arms up and the person on the left has their arms down	Preposition		2	Relation
182	the person on the left is holding the phone and the person on the right is staring at it	the person on the right is holding the phone and the person on the left is staring at it	Preposition		2	Relation
183	the orange on the left is moldy while the orange on the right is fresh	the orange on the right is moldy while the orange on the left is fresh	Preposition		2	Relation
184	a pink scoop of ice cream on top and a blue scoop on bottom	a pink scoop of ice cream on bottom and a blue scoop on top	Preposition		2	Relation
185	the glasses on the right are fuller than the glasses on the left	the glasses on the left are fuller than the glasses on the right	Preposition		1	Relation
186	the person on the left is blowing bubbles and the person on the right is watching	the person on the right is blowing bubbles and the person on the left is watching	Preposition		2	Relation
187	there's more foam on the left than on the right	there's more foam on the right than on the left	Preposition		1	Relation
188	a fish is jumping from left to right	a fish is jumping from right to left	Preposition		1	Relation
189	they worked out then they drank water	they drank water then they worked out	Verb-Transitive Phrase		2	Relation
190	the shrimp are peeled then the shrimp are cooked	the shrimp are cooked then the shrimp are peeled	Verb-Intransitive		2	Relation
191	the coffee is poured before it is ground	it is ground before the coffee is poured	Sentence		2	Relation
192	the potato is washed and then it is cut	the potato is cut and then it is washed	Verb-Intransitive		2	Relation
193	the banana is peeled then it is sliced	the banana is sliced then it is peeled	Verb-Intransitive		2	Relation
194	the dog is swimming and the person is standing	the dog is standing and the person is swimming	Verb-Intransitive, Noun		2	Relation
195	the person is jumping while the cat is sitting	the person is sitting while the cat is jumping	Verb-Intransitive, Noun		2	Relation
196	a cat is lying down and a person is stretching	a cat is stretching and a person is lying down	Verb-Intransitive Phrase		2	Relation
197	some people are standing but more are sitting	some people are sitting but more are standing	Verb-Intransitive, Determiner-Numeral		2	Relation
198	The kid throws the pancake and the adult sees it	The kids see the pancake and the adult throws it	Verb-Transitive	Morpheme-Level	2	Relation
199	painting gray walls white	painting white walls gray	Adjective-Color		1	Relation
200	a shorter person wearing blue standing next to a taller person	a taller person wearing blue standing next to a shorter person	Adjective-Height		1	Relation
201	a person wearing a bear mask in blue on the left hand side of a person wearing a panda mask with glasses in pink	a person wearing a panda mask with glasses in blue on the left hand side of a person wearing a bear mask in pink	Noun, Preposition Phrase, Scope	Series	1	Both
202	a car containing many a box	a box containing many a car	Noun	Symbolic	1	Object
203	left is red and right is blue	left is blue and right is red	Adjective-Color	Symbolic	2	Relation
204	many a table tennis racket, just one ball	just one table tennis racket, many a ball	Determiner-Numeral		1	Relation
205	four lions, no tigers	no lions, four tigers	Determiner-Numeral		1	Relation
206	a small spherical object is heavier than a big spherical object	a big spherical object is heavier than a small spherical object	Adjective-Size		1	Relation
207	an older person blocking a younger person	a younger person blocking an older person	Adjective-Age		1	Relation
208	white land and black water	black land and white water	Adjective-Color	Symbolic	1	Relation
209	the cube is smaller than the shape whose lateral faces meet at a vertex	the shape whose lateral faces meet at a vertex is smaller than the cube	Noun Phrase	Symbolic	1	Object
210	more bicycles than cars	more cars than bicycles	Noun		1	Object
211	there are more apples than pears	there are more pears than apples	Noun		1	Object
212	there is more love than hate	there is more hate than love	Noun		1	Object
213	more water than oil	more oil than water	Noun		1	Object
214	a person cries while another person wearing jewelry above their shoulders consoles	a person consoles while another person wearing jewelry above their shoulders cries	Verb-Intransitive		2	Relation
215	a person with long hair eating a meat-based product while a person with short hair snacks on some fries	a person with short hair eating a meat-based product while a person with long hair snacks on some fries	Adjective-Size		2	Relation
216	water below the boat	boat below the water	Noun		1	Object
217	the one in front is faster than the other one	the other one is faster than the one in front	Noun Phrase	Symbolic	1	Object
218	You can catch more flies with honey than you can with vinegar	You can catch more flies with vinegar than you can with honey	Noun	Pragmatics	2	Object
219	It starts with "A" and ends with "Z"	It starts with "Z" and ends with "A"	Noun	Symbolic, Pragmatics	2	Object
220	a shadow within the line	a line within the shadow	Noun		1	Object
221	the brave in the face of fear	fear in the face of the brave	Noun Phrase	Pragmatics	1	Object
222	I need my strength back	I need my back strength	Altered POS	Pragmatics	1	Both
223	the one in the middle is taller than the ones on the side are	the ones on the side are taller than the one in the middle is	Sentence		1	Relation
224	fish flying	fly fishing	Altered POS	Morpheme-Level	1	Both
225	the red car is behind the blue car	the blue car is behind the red car	Adjective-Color		1	Relation
226	the driver wearing a shirt is in front of the other person wearing a sleeveless top	the driver wearing a sleeveless top is in front of the other person wearing a shirt	Noun		2	Object
227	an object that rolls is on some wood	some wood is on an object that rolls	Determiner-Numeral, Noun Phrase		1	Object
228	a cat viewing a human on a screen	a human viewing a cat on a screen	Noun		1	Object
229	a normal person wishing they were a superhero	a superhero wishing they were a normal person	Noun Phrase	Symbolic, Pragmatics	1	Object
230	a mike in the right hand while raising the left	a mike in the left hand while raising the right	Preposition		2	Relation
231	a person with long hair behind a person with a beard	a person with a beard behind a person with long hair	Noun Phrase		1	Object
232	the person with hair to their shoulders has brown eyes and the other person's are blue	the person with hair to their shoulders has blue eyes and the other person's are brown	Adjective-Color		2	Relation
233	a human being on a device that intercepts the sun's rays	a device that intercepts the sun's rays on a human being	Noun Phrase		1	Object
234	more humans than phones	more phones than humans	Noun		1	Object
235	a person is in the tube	a tube is in the person	Noun		1	Object
236	the person's head is above the rest of their body	the rest of their body is above the person's head	Noun Phrase		1	Object
237	person overboard	person over board	Scope	Morpheme-Level	1	Relation
238	more red buttons than blue	more blue buttons than red	Adjective-Color	Symbolic	1	Relation
239	the object at the top left is purple and the one at the bottom right of the group is red	the object at the bottom right is purple and the one at the top left of the group is red	Preposition Phrase		2	Relation
240	flat at the bottom and pointy on top	flat on top and pointy at the bottom	Preposition Phrase		1	Relation
241	seat numbers increasing from left to right	seat numbers increasing from right to left	Preposition		1	Relation
242	the number on the right is larger than the number on the left	the number on the left is larger than the number on the right	Preposition		1	Relation
243	more hair on the person's face than on their head	more hair on the person's head than on their face	Noun		1	Object
244	the knife on the left and the fork on the right	the knife on the right and the fork on the left	Preposition		2	Relation
245	food on their eyes	eyes on their food	Noun	Symbolic	1	Object
246	cars of bits	bits of cars	Noun	Symbolic	1	Object
247	a person on top of the world	the world on top of a person	Noun	Symbolic	1	Object
248	two people; the one on the right has curly hair and the one on the left doesn't	two people; the one on the left has curly hair and the one on the right doesn't	Preposition		2	Relation
249	first the cream, then the jam	first the jam, then the cream	Noun		1	Object
250	more kisses than hugs	more hugs than kisses	Noun		1	Object
251	an inflatable flamingo on a person	a person on an inflatable flamingo	Noun Phrase		1	Object
252	a pink bird with a white beak	a white bird with a pink beak	Adjective-Color		1	Relation
253	a large pink inflatable flamingo along with some other lilos on the water including one that is mostly white	a large white inflatable flamingo along with some other lilos on the water including one that is mostly pink	Adjective-Color		1	Relation
254	there are more eyes in the image than there are on a typical human	there are more eyes on a typical human than there are in the image	Preposition Phrase	Symbolic	1	Relation
255	the confident doctor's stethoscope is around their neck, and their jacket is over their name tag	the confident doctor's stethoscope is around their neck, and their name tag is over their jacket	Noun		2	Object
256	few wind turbines and many clouds	few clouds and many wind turbines	Noun		1	Object
257	an adult is reading to their young child	their young child is reading to an adult	Noun Phrase, Determiner-Possessive		1	Object
258	the shopping basket is full and the shelves on the person's right are empty	the shelves on the person's right are full and the shopping basket is empty	Sentence		2	Relation
259	Young person playing baseball with a green bat and blue ball	Young person playing baseball with a blue bat and green ball	Noun, Adjective-Color		1	Relation
260	painting the white wall red	painting the red wall white	Adjective-Color		1	Relation
261	wearing a red jacket over blue	wearing a blue jacket over red	Adjective-Color		1	Relation
262	I had cleaned my car	I had my car cleaned	Altered POS	Pragmatics	1	Both
263	unfortunate poor people	poor unfortunate people	Adjective-Manner	Pragmatics	1	Relation
264	there are less gloves than masks	there are less masks than gloves	Noun		1	Object
265	there are more pineapples than boxes	there are more boxes than pineapples	Noun		1	Object
266	the outer bristles are blue and the inner ones are white	the outer bristles are white and the inner ones are blue	Adjective-Color		2	Relation
267	the first vowel is E and the last consonant is N	the last vowel is E and the first consonant is N	Adjective-Temporal	Symbolic, Pragmatics	2	Relation
268	the cat on the left of the photo has its right paw ahead of its left	the cat on the left of the photo has its left paw ahead of its right	Adjective-Spatial		1	Relation
269	the text is black on white	the text is white on black	Adjective-Color		1	Relation
270	the dog sits and the cat stands	the dog stands and the cat sits	Verb-Intransitive		1	Relation
271	the person with facial hair cycles and the other person runs	the person with facial hair runs and the other person cycles	Verb-Intransitive		2	Relation
272	using the laptop while the guitar is close by	using the guitar while the laptop is close by	Noun		1	Object
273	a person in a blue coat with a brown-ish coffee cup	a person in a brown-ish coat with a blue coffee cup	Adjective-Color		1	Relation
274	space in a star	a star in space	Noun	Symbolic	1	Object
275	star of death	death of star	Noun	Symbolic, Pragmatics	1	Object
276	the younger person is making noise while the other is silent	the younger person is silent while the other is making noise	Verb-Intransitive, Adjective-Manner		2	Relation
277	the one on the left is happy and the other is sad	the one on the left is sad and the other is happy	Noun Phrase, Adjective-Animate		2	Relation
278	the person on the left is dancing and the person on the very right is sitting on the sofa	the person on the left is sitting on the sofa and the person on the very right is dancing	Verb-Intransitive, Verb-Transitive Phrase		2	Relation
279	the person on the left is crying sadly while the one on the right is smiling happily	the person on the left is smiling happily while the one on the right is crying sadly	Verb-Intransitive Phrase, Adverb-Animate		2	Relation
280	the large person is drinking from the small coffee cup	the small person is drinking from the large coffee cup	Adjective-Size		1	Relation
281	hot rubber and cool metal	cool rubber and hot metal	Adjective-Temperature		1	Relation
282	the triangular shape is beneath the square one	the square shape is beneath the triangular one	Adjective-Shape		1	Relation
283	rough outside but smooth inside	smooth outside but rough inside	Adjective-Texture		1	Relation
284	the green one is fast and the one in white is comparatively slow	the green one is slow and the one in white is comparatively fast	Adjective-Speed		2	Relation
285	there are more humans than balls	there are more balls than humans	Noun		1	Object
286	there are more legs than wheels	there are more wheels than legs	Noun		1	Object
287	a group of three people with longer hair and two with short hair in a business context	a group of two people with longer hair and three with short hair in a business context	Determiner-Numeral		2	Relation
288	the gesture of the person sitting down is supporting the understanding of the person standing up	the gesture of the person standing up is supporting the understanding of the person sitting down	Verb-Intransitive Phrase, Preposition		1	Relation
289	the circle is above the cross	the cross is above the circle	Noun		1	Object
290	aerial view of a green tree in the brown freshly turned soil next to a green field	aerial view of a green tree in a green field next to the brown freshly turned soil	Noun Phrase, Adjective-Color		1	Object
291	physical therapist inspecting blue elastic therapeutic kinesio tape over pink	physical therapist inspecting pink elastic therapeutic kinesio tape over blue	Adjective-Color	Series	1	Relation
292	the skipping rope color is different to the shoelaces but similar to the shoes	the skipping rope color is similar to the shoelaces but different to the shoes	Adjective-Manner		2	Relation
293	the blue balloon is being lifted by the weight	the weight is being lifted by the blue balloon	Noun Phrase		1	Object
294	the sea is rough but the rocks are smooth	the sea is smooth but the rocks are rough	Adjective-Manner		2	Relation
295	the melting white food is cold while the brown is warm	the melting white food is warm while the brown is cold	Adjective-Temperature		2	Relation
296	the person with a beard is smiling while the person with long hair is not	the person with long hair is smiling while the person with a beard is not	Noun Phrase		2	Object
297	the pet on the right is white and the one on the left is not	the pet on the left is white and the one on the right is not	Preposition		2	Relation
298	the outlet carrying water from the faucet to the shower head is near the hot tap not the cold	the outlet carrying water from the faucet to the shower head is near the cold tap not the hot	Adjective-Temperature		1	Relation
299	the larger ball is heavier and the smaller one is lighter	the larger ball is lighter and the smaller one is heavier	Adjective-Weight		2	Relation
300	The adult with the magnifying glass looks at the kid	The adult looks at the kid with the magnifying glass	Preposition Phrase		1	Relation
301	a dog is on a blanket with spots	a blanket is on a dog with spots	Noun		1	Object
