original_id	templeate_id	caption_0	caption_1	class	template	modification_rule	template_details	modification_examples
7	7	a bottle is in water	water is in a bottle	no-tag	Subject-Verb-Preposition-Object	The order of subject and object is swapped	{"structure": "Subject-Verb-Preposition-Object","structure_reason": "Both sentences have the same structure where the subject comes first, followed by the verb, then preposition, and finally the object.","swapped_elements": "The order of subject and object is swapped","swapped_elements_reason": "In the first sentence, 'a bottle' is the subject and 'water' is the object, while in the second sentence, 'water' is the subject and 'a bottle' is the object. Therefore, the subject and object are swapped between the two sentences."}	For example, new_text_1 = \a bottle is in water\". Only Swap the \"bottle\" and \"water\" and keep the other words unchanged to generate \"new_text_2\"=\"water is in a bottle\" "
8	8	a tree smashed into a car	a car smashed into a tree	no-tag	Subject-Verb-Preposition-Object	Subject and Object	{"structure": "Subject-Verb-Preposition-Object","structure_reason":"Both sentences have the same structure with a subject, verb, and prepositional phrase followed by an object", "swapped_elements": "Subject and Object", "swapped_elements_reason": "The subjects and objects are swapped, while the verb and prepositional phrase remain the same in both sentences"}	For example, new_text_1 = \a tree smashed into a car\". Only Swap the \"tree\" and \"car\" and keep the other words unchanged to generate \"new_text_2\"=\"a car smashed into a tree\" "
9	9	people fall on the leaves	the leaves fall on people	no-tag	Subject Verb Preposition Object	Subject and Object	{"structure": "Subject Verb Preposition Object","structure_reason": "Both sentences follow the SVO (Subject-Verb-Object) structure with the addition of a prepositional phrase.","swapped_elements": "Subject and Object", "swapped_elements_reason": "In the first sentence, 'people' is the subject and 'leaves' is the object, while in the second sentence, 'leaves' is the subject and 'people' is the object. The prepositional phrase 'on' remains in the same position."}	For example, new_text_1 = \people fall on the leaves\". Only Swap the \"people\" and \"leaves\" and keep the other words unchanged to generate \"new_text_2\"=\"the leaves fall on people\" "
11	11	there is a table below someone	there is someone below a table	no-tag	there be [Object]-[Preposition]-[Object]	First Object and Second Object	{"structure": "there be [Object]-[Preposition]-[Object]", "structure_reason": "Both sentences have the same structure, which includes the 'there is' construction, followed by two objects and a preposition indicating their relationship", "swapped_elements": "First Object and Second Object", "swapped_elements_reason": "In the two sentences, the first and second objects are swapped, while the 'there is' construction and preposition remain unchanged"}	For example, new_text_1 = \there is a table below someone\". Only Swap the \"a table\" and \"someone\" and keep the other words unchanged to generate \"new_text_2\"=\"there is someone below a table\" "
12	12	the image shows a computer on top of books	the image shows books on top of a computer	no-tag	[Object] shows [Object1]-[Preposition]-[Object2]	Object1 and Second Object2	{"structure": "[Object] shows [Object1]-[Preposition]-[Object2]", "structure_reason": "Both sentences have the same structure, which includes the verb 'shows' followed by two objects and a preposition indicating their relationship","swapped_elements": "Object1 and Second Object2", "swapped_elements_reason": "In the two sentences, Object1 and Object2 are swapped while the verb 'shows' and the preposition indicating their relationship remain unchanged."}	For example, new_text_1 = \the image shows a computer on top of books\". Only Swap the \"a computer\" and \"books\" and keep the other words unchanged to generate \"new_text_2\"=\"the image shows a computer on top of books\" "
14	14	there is a mug in some grass	there is some grass in a mug	no-tag	there be [Object]-[Preposition]-[Object]	First Object and Second Object	{"structure": "there be [Object]-[Preposition]-[Object]", "structure_reason": "Both sentences have the same structure, which includes the 'there is' construction, followed by two objects and a preposition indicating their relationship", "swapped_elements": "First Object and Second Object", "swapped_elements_reason": "In the two sentences, the first and second objects are swapped, while the 'there is' construction and preposition remain unchanged"}	For example, new_text_1 = \there is a mug in some grass\". Only Swap the \"a mug\鈥 and \"some grass\" and keep the other words unchanged to generate \"new_text_2\"=\"there is some grass in a mug\" "
15	15	there are more skiers than snowboarders	there are more snowboarders than skiers	no-tag	there be more [Object1] than [Object2]	Object1 and Object2	{"structure": "there be more [Object1] than [Object2]", "structure_reason": "Both sentences have the same structure, which includes the phrase 'there are more' followed by two objects connected by the comparative conjunction 'than'", "swapped_elements": "Object1 and Object2","swapped_elements_reason": "In the two sentences, Object1 and Object2 are swapped, while the phrase 'there are more' and the comparative conjunction 'than' remain unchanged"}	For example, new_text_1 = \there are more skiers than snowboarders\". Only Swap the \"skiers\鈥 and \"snowboarders\" and keep the other words unchanged to generate \"new_text_2\"=\"there are more snowboarders than skiers\" "
17	17	there are more ladybugs than flowers	there are more flowers than ladybugs	no-tag	there be more [Object1] than [Object2]	Object1 and Object2	{"structure": "there be more [Object1] than [Object2]", "structure_reason": "Both sentences have the same structure, which includes the phrase 'there are more' followed by two objects connected by the comparative conjunction 'than'", "swapped_elements": "Object1 and Object2","swapped_elements_reason": "In the two sentences, Object1 and Object2 are swapped, while the phrase 'there are more' and the comparative conjunction 'than' remain unchanged"}	For example, new_text_1 = \there are more ladybugs than flowers\". Only Swap the \"flowers\鈥 and \"ladybugs\" and keep the other words unchanged to generate \"new_text_2\"=\"there are more flowers than ladybugs\" "
18	18	there is less orange juice than milk	there is less milk than orange juice	no-tag	there be more [Object1] than [Object2]	Object1 and Object2	{"structure": "there be more [Object1] than [Object2]", "structure_reason": "Both sentences follow the same basic structure of 'there be less' followed by two objects with a comparative preposition 'than' to express a comparison between them.", "swapped_elements": "Object1 and Object2", "swapped_elements_reason": "In both sentences, Object1 and Object2 have been swapped, while the structure and the verb 'be' remained the same."}	For example, new_text_1 = \there is less orange juice than milk\". Only Swap the \"orange\鈥 and \"milk\" and keep the other words unchanged to generate \"new_text_2\"=\"there is less milk than orange juice\" "
19	19	there is more dirt than empty space in the jar	there is more empty space than dirt in the jar	no-tag	There be more [Object1] than [Object2] in [Location]	Object1 and Object2	{"structure": "There be more [Object1] than [Object2] in [Location]", "structure_reason": "Both sentences have the same structure, which is 'There is more [Object1] than [Object2] in [Location]', indicating a comparison between two objects in a specific location.", "swapped_elements": "Object1 and Object2", "swapped_elements_reason": "The two sentences swap the positions of 'dirt' and 'empty space' in the prepositional phrase 'in the jar', while the rest of the structure remains the same."}	For example, new_text_1 = \there is more dirt than empty space in the jar\". Only Swap the \"dirt\鈥 and \"empty space\" and keep the other words unchanged to generate \"new_text_2\"=\"there is more empty space than dirt in the jar\" "
20	20_v1	there is a bit less milk chocolate than white chocolate	there is a bit less white chocolate than milk chocolate	no-tag	There is a bit less [Noun Phrase 1] than [Noun Phrase 2]	[Noun Phrase 1] and [Noun Phrase 2]	{"structure": "There is a bit less [Noun Phrase 1] than [Noun Phrase 2]", "structure_reason": "Both sentences share the same basic structure, including the verb 'is', the noun phrases [Noun Phrase 1] and [Noun Phrase 2], and the comparative phrase 'a bit less'. The only difference is the order of the two noun phrases.", "swapped_elements": "[Noun Phrase 1] and [Noun Phrase 2]", "swapped_elements_reason": "The two noun phrases are swapped in position, while the other elements of the structure remain the same."}	For example, new_text_1 = \there is a bit less milk chocolate than white chocolate\". Only Swap the \"milk chocolate\鈥 and \"white chocolate\" and keep the other words unchanged to generate \"new_text_2\"=\"there is a bit less white chocolate than milk chocolate\" "
20	20_v2	there is a bit less milk chocolate than white chocolate	there is a bit less white chocolate than milk chocolate	no-tag	There be a bit less [Adjective1 Object] than [Adjective2 Object]	Object1 and Object2	{"structure": "There be a bit less [Adjective1 Object] than [Adjective2 Object]", "structure_reason": "Both sentences have the same structure, which includes the subject 'there is', followed by the phrase 'a bit less' and two noun phrases connected by the conjunction 'than' indicating a comparison between them", "swapped_elements": "Object1 and Object2", "swapped_elements_reason": "Since both sentences have the same structure and the only difference is the order of the adjectives, the swapped elements are the adjectives \"milk\" and \"white\". The reason for this is simply a change in the order of the adjectives to indicate a change in the comparison being made."}	For example, new_text_1 = \there is a bit less milk chocolate than white chocolate\". Only Swap the \"milk\鈥 and \"white\" and keep the other words unchanged to generate \"new_text_2\"=\"there is a bit less white chocolate than milk chocolate\" "
21	21	a person sits and a dog stands	a person stands and a dog sits	no-tag	[Subject1] [verb1] and [Subject2] [verb2]	verb1 and verb2	{"structure": "[Subject1] [verb1] and [Subject2] [verb2]", "structure_reason": "Both sentences have the same structure, which includes two subjects connected by the conjunction 'and', each followed by a verb indicating their action", "swapped_elements": "verb1 and verb2", "swapped_elements_reason": "The verbs 'sits' and 'stands' are swapped between the two sentences while the subjects remain in the same position and perform opposite actions."}	For example, new_text_1 = \a person sits and a dog stands\". Only Swap the \"sit\鈥 and \"stand\" and keep the other words unchanged to generate \"new_text_2\"=\"a person stands and a dog sits\" "
24	24	the person closer to the camera weightlifts and the person farther from the camera runs	the person closer to the camera runs and the person farther from the camera weightlifts	no-tag	[Noun phrase1] [Prepositional phrase1] [Verb1] and [Noun phrase2] [Prepositional phrase2] [Verb2]	Verb1 and Verb2	{"structure": "[Noun phrase1] [Prepositional phrase1] [Verb1] and [Noun phrase2] [Prepositional phrase2] [Verb2]", "structure_reason": "Both sentences have the same structure, which includes two noun phrases as subjects, followed by their respective prepositional phrases indicating their location, and the verbs 'weightlifts' and 'runs' indicating their respective actions", "swapped_elements": "Verb1 and Verb2", "swapped_elements_reason": "The only difference between the two sentences is that the verbs 'weightlifts' and 'runs' are swapped, resulting in a change in the action performed by each person."}	For example, new_text_1 = \the person closer to the camera weightlifts and the person farther from the camera runs\". Only Swap the \"weightlift\鈥 and \"run\" and keep the other words unchanged to generate \"new_text_2\"=\"the person closer to the camera runs and the person farther from the camera weightlifts\" "
26	26	the taller person chops food and the shorter person eats food	the taller person eats food and the shorter person chops food	no-tag	[Subject Noun phrase1] [Verb1] [Object1] and [Subject Noun phrase2] [Verb2] [Object2]	Verb1 and Verb2	{"structure": "[Subject Noun phrase1] [Verb1] [Object1] and [Subject Noun phrase2] [Verb2] [Object2]", "structure_reason": "Both sentences contain two subject noun phrases and two verbs, with each subject noun phrase and verb corresponding to an object. These elements are connected together by the conjunction \"and\". ", "swapped_elements": "Verb1 and Verb2", "swapped_elements_reason": "The two sentences have the same structure, including the subject noun phrases, verbs, objects, and conjunction, with the only difference being the swapped positions of the two verbs."}	For example, new_text_1 = \the taller person chops food and the shorter person eats food\". Only Swap the \"chop\鈥 and \"eat\" and keep the other words unchanged to generate \"new_text_2\"=\"the taller person eats food and the shorter person chops food\" "
29	29	a brown dog is on a white couch	a white dog is on a brown couch	no-tag	[Adjective1(Color)] [Noun1] be [Preposition] [Adjective2(Color)] [Noun2]	Adjective1 and Adjective2	{"structure": "[Adjective1(Color)] [Noun1] be [Preposition] [Adjective2(Color)] [Noun2]", "structure_reason": "Both sentences have the same basic structure, which includes a noun phrase as the subject, followed by the verb 'be' and a prepositional phrase indicating location, and another noun phrase as the object. The only difference is the color adjectives and the nouns they modify are swapped between the two sentences.", "swapped_elements": "Adjective1 and Adjective2", "swapped_elements_reason": "The only elements that are swapped between the two sentences are the color adjectives, which modify the nouns 'dog' and 'couch', respectively."}	For example, new_text_1 = \a brown dog is on a white couch\". Only Swap the \"brown\鈥 and \"white\" and keep the other words unchanged to generate \"new_text_2\"=\"there is a bit less white chocolate than milk chocolate\" "
30	30	a blue bird is next to a red berry	a red bird is next to a blue berry	no-tag	[Adjective1(Color)] [Noun1] be [Preposition] [Adjective2(Color)] [Noun2]	Noun1 and Noun2	{"structure": "[Adjective1(Color)] [Noun1] be [Preposition] [Adjective2(Color)] [Noun2]", "structure_reason": "Both sentences have the same structure, which includes a subject composed of an adjective indicating color and a noun, followed by the verb 'be', a preposition indicating location, and another subject composed of an adjective indicating color and a noun", "swapped_elements": "Noun1 and Noun2", "swapped_elements_reason": "The nouns 'bird' and 'berry' are swapped between the two sentences, indicating a change in the entities being described."}	For example, new_text_1 = \a blue bird is next to a red berry\". Only Swap the \"blue\鈥 and \"red\" and keep the other words unchanged to generate \"new_text_2\"=\"a red bird is next to a blue berry\" "
32	32	astronauts in blue suits with a red planet in the background	astronauts in red suits with a blue planet in the background	no-tag	[Adjective1(Color) and other modifying information] [Noun1] [Preposition] [Adjective2(Color) and other modifying information] [Noun2]	Adjective1 and Adjective2	{"structure": "[Adjective1(Color) and other modifying information] [Noun1] [Preposition] [Adjective2(Color) and other modifying information] [Noun2]", "structure_reason": "Both sentences have the same structure, which includes a noun phrase 'astronauts' modified by a prepositional phrase indicating their attire, followed by a prepositional phrase indicating the background scenery with a noun phrase 'planet' modified by a color adjective and other modifying information", "swapped_elements": "Adjective1 and Adjective2", "swapped_elements_reason": "The only difference between the two sentences is the swapping of the color adjectives in the prepositional phrases modifying the planets in the background."}	For example, new_text_1 = \astronauts in blue suits with a red planet in the background\". Only Swap the \"blue\鈥 and \"red\" and keep the other words unchanged to generate \"new_text_2\"=\"astronauts in red suits with a blue planet in the background\" "
33	33	the square table has a round base	the round table has a square base	no-tag	[Adjective1(Shape)] [Noun1] has a [Adjective2(Shape)] [Noun2]	Adjective1 and Adjective2	{"structure": "[Adjective1(Shape)] [Noun1] has a [Adjective2(Shape)] [Noun2]", "structure_reason": "Both sentences have the same basic structure, which is a noun phrase as the subject ('the square table' and 'the round table') followed by a verb phrase with the verb 'has', indicating possession or presence, and then another noun phrase with an adjective describing its shape ('a round base' and 'a square base') as the object of the sentence", "swapped_elements": "Adjective1 and Adjective2", "swapped_elements_reason": "The only difference between the two sentences is the order of the adjectives, 'square' and 'round', and 'round' and 'square', which describe the shape of the base and table, respectively."}	For example, new_text_1 = \the square table has a round base\". Only Swap the \"square\鈥 and \"round\" and keep the other words unchanged to generate \"new_text_2\"=\"the round table has a square base\" "
34	34	pointy bushes are behind rectangular bushes	rectangular bushes are behind pointy bushes	no-tag	[Adjective1(Shape)] [Noun1] be [Preposition] [Adjective2(Shape)] [Noun2]	Adjective1 and Adjective2	{"structure": "[Adjective1(Shape)] [Noun1] be [Preposition] [Adjective2(Shape)] [Noun2]", "structure_reason": "Both sentences share the same basic structure, which includes an adjective modifying the noun and a prepositional phrase indicating the location of the noun, with the verb 'be' linking the two elements. In this case, the adjectives are 'pointy' and 'rectangular', and the nouns are 'bushes'", "swapped_elements": "Adjective1 and Adjective2", "swapped_elements_reason": "The only difference between the two sentences is the order of the adjectives, with 'pointy' and 'rectangular' swapped between the two sentences."}	For example, new_text_1 = \pointy bushes are behind rectangular bushes\". Only Swap the \"pointy\鈥 and \"rectangular\" and keep the other words unchanged to generate \"new_text_2\"=\"rectangular bushes are behind pointy bushes\" "
35	35	a circular sign is above a rectangular sign	a rectangular sign is above a circular sign	no-tag	[Adjective1(Shape)] [Noun1] be [Preposition] [Adjective2(Shape)] [Noun2]	Adjective1 and Adjective2	{"structure": "[Adjective1(Shape)] [Noun1] be [Preposition] [Adjective2(Shape)] [Noun2]", "structure_reason": "Both sentences share the same structure, which is composed of two noun phrases as subjects, followed by a preposition indicating their spatial relationship, and two adjectives indicating their shapes. The verbs 'is above' and 'is below' describe their relative position", "swapped_elements": "Adjective1 and Adjective2", "swapped_elements_reason": "The only difference between the two sentences is the order of the adjectives used to describe the shapes of the signs"}	For example, new_text_1 = \a circular sign is above a rectangular sign\". Only Swap the \"circular\鈥 and \"rectangular\" and keep the other words unchanged to generate \"new_text_2\"=\"a rectangular sign is above a circular sign\" "
37	37	soft shoes are on a smooth floor	smooth shoes are on a soft floor	no-tag	[Adjective1(Texture)] [Noun1] be [Preposition] [Adjective2(Texture)] [Noun2]	Adjective1 and Adjective2	{"structure": "[Adjective1(Texture)] [Noun1] be [Preposition] [Adjective2(Texture)] [Noun2]", "structure_reason": "Both sentences follow the same basic structure of [Adjective1] [Noun1] be [Preposition] [Adjective2] [Noun2], where the adjectives describe the texture of the shoes and the floor, respectively.", "swapped_elements": "Adjective1 and Adjective2", "swapped_elements_reason": "The only difference between the two sentences is the swapping of the adjectives describing the texture of the shoes and the floor."}	For example, new_text_1 = \soft shoes are on a smooth floor\". Only Swap the \"soft\鈥 and \"smooth\" and keep the other words unchanged to generate \"new_text_2\"=\"smooth shoes are on a soft floor\" "
39	39	the hurt person is on the left and the helpful person is on the right	the helpful person is on the left and the hurt person is on the right	no-tag	[Adjective1(Animate)] [Noun1] be [Preposition Phrase 1] and [Adjective2(Animate)] [Noun2] be [Preposition Phrase 2]	Adjective1(Animate)-Adjective2(Animate)	{"structure": "[Adjective1(Animate)] [Noun1] be [Preposition Phrase 1] and [Adjective2(Animate)] [Noun2] be [Preposition Phrase 2]", "structure_reason": "Both sentences follow the same basic structure of [Adjective(Animate)] [Noun] be [Preposition Phrase]. The prepositions indicate the position of the people relative to each other. The swapping of elements involves the adjectives describing each person - 'hurt' and 'helpful' - as well as the order of the people. The swapping is due to a change in the attribute being applied to each person, as well as a change in the order of the people relative to their location.", "swapped_elements": "Adjective1(Animate)-Adjective2(Animate)", "swapped_elements_reason": "The adjectives describing each person ('hurt' and 'helpful') are swapped in the two sentences. This is due to a change in the attribute being applied to each person."}	For example, new_text_1 = \the hurt person is on the left and the helpful person is on the right\". Only Swap the \"hurt\鈥 and \"helpful\" and keep the other words unchanged to generate \"new_text_2\"=\"the helpful person is on the left and the hurt person is on the right\" "
43	43	a big cat is next to a small dog	a small cat is next to a big dog	no-tag	[Adjective1(Size)] [Noun1] be [Location Preposition Phrase] [Adjective2(Size)] [Noun2]	Adjective1(Size) and Adjective2(Size)	{"structure": "[Adjective1(Size)] [Noun1] be [Location Preposition Phrase] [Adjective2(Size)] [Noun2]", "structure_reason": "The sentences have a similar structure with minor changes in the specific adjectives and nouns used to describe the subject and object.","swapped_elements": "Adjective1(Size) and Adjective2(Size)","swapped_elements_reason": "The size adjectives describing the two nouns are swapped between the two sentences."}	For example, new_text_1 = \a big cat is next to a small dog\". Only Swap the \"big\鈥 and \"small\" and keep the other words unchanged to generate \"new_text_2\"=\"a small cat is next to a big dog\" "
45	45	a cold drink on a hot day	a hot drink on a cold day	no-tag	Adjective1 Noun Preposition Adjective2 Noun	Adjective1 and Adjective2	{"structure": "Adjective1 Noun Preposition Adjective2 Noun","structure_reason": "Both sentences follow the same structure of a noun phrase with two adjectives and a prepositional phrase.","swapped_elements": "Adjective1 and Adjective2","swapped_elements_reason": "The adjectives 'cold' and 'hot' are swapped in the two sentences."}	For example, new_text_1 = \a cold drink on a hot day\". Only Swap the \"hot\" and \"cold\" and keep the other words unchanged to generate \"new_text_2\"=\"a hot drink on a cold day\" "
47	47	the sailboat sails close but the beach is far away	the sailboat sails far away but the beach is close	no-tag	[Noun1] [Verb1] [Adverb Phrase1(Spatial)] [Conjunction] [Noun2] [Verb2] [Adverb Phrase2(Spatial)]	Adverb Phrase1(Spatial) and Adverb Phrase2(Spatial)	{"structure": "[Noun1] [Verb1] [Adverb Phrase1(Spatial)] [Conjunction] [Noun2] [Verb2] [Adverb Phrase2(Spatial)]","structure_reason": "Both sentences follow the same pattern and have similar components.","swapped_elements": "Adverb Phrase1(Spatial) and Adverb Phrase2(Spatial)","swapped_elements_reason": "The spatial adverb phrases describing the sailboat's sailing and the beach's position are swapped between the two sentences."}	For example, new_text_1 = \the sailboat sails close but the beach is far away\". Only Swap the \"close\" and \"far away\" and keep the other words unchanged to generate \"new_text_2\"=\"the sailboat sails far away but the beach is close\" "
48	48	the passenger is riding inattentive to the road and the driver is driving attentive to the road	the passenger is riding attentive to the road and the driver is driving inattentive to the road	no-tag	[Subject1] [Relative clause1] [Verb1] and [Subject2] [Relative clause2] [Verb2]	[Relative clause1] and [Relative clause2] are swapped.	{"structure": "[Subject1] [Relative clause1] [Verb1] and [Subject2] [Relative clause2] [Verb2]", "structure_reason": "The common syntax structure of the two sentences is a subject followed by a relative clause and then a verb. This structure is consistent in both sentences.", "swapped_elements": "[Relative clause1] and [Relative clause2] are swapped.", "swapped_elements_reason": "In the first sentence, the relative clause 'inattentive to the road' modifies the subject 'the passenger', while in the second sentence, the relative clause 'attentive to the road' modifies the subject 'the driver'. The relative clauses are swapped between the two sentences."}	For example, new_text_1 = \the passenger inattentive to the road is riding and the driver attentive to the road is driving\". Only Swap the \"inattentive to the road\" and \"attentive to the road\" and keep the other words unchanged to generate \"new_text_2\"=\"the passenger is riding attentive to the road and the driver is driving inattentive to the road\" "
