id	caption_0	caption_1	class
61	there are three people and two windows	there are two people and three windows	unusual-image
62	there are 50 stars on the right flag and 5 stars on the left flag	there are 5 stars on the right flag and 50 stars on the left flag	unusual-image
63	no people wear blue shirts and six people wear white shirts	six people wear blue shirts and no people wear white shirts	unusual-text
64	the dog's leg is on the person's torso	the person's leg is on the dog's torso	no-tag
65	the animal's eyes are bigger than the person's	the person's eyes are bigger than the animal's	visuallydifficult
66	the taller person's arm is around the shorter person's shoulder	the shorter person's arm is around the taller person's shoulder	no-tag
67	the person in a brown coat looks back and the person in a black coat looks forward	the person in a black coat looks back and the person in a brown coat looks forward	no-tag
68	it ran away while they pursued	they ran away while it pursued	unusual-text
69	almost everyone is in a boat and one is swimming	one is in a boat and almost everyone is swimming	visuallydifficult
70	the person with the lighter shoes is holding an emoji and the person with the darker shoes isn't	the person with the darker shoes is holding an emoji and the person with the lighter shoes isn't	visuallydifficult
71	the person wearing neutral colors poses and the person wearing brighter colors takes a picture	the person wearing brighter colors poses and the person wearing neutral colors takes a picture	no-tag
72	it's a fire truck	it's a truck fire	non-compositional
73	watching the present	presenting the watch	non-compositional
74	walking out on a rock	rocking out on a walk	non-compositional
75	the kid with the magnifying glass looks at them	the kid looks at them with the magnifying glass	ambiguously-correct
76	the person with the kids is sitting	the person is sitting with the kids	ambiguously-correct
77	the people with shoes are touching each other	the people are touching each other with shoes	ambiguously-correct
78	someone with an apple is hurt by a tree	someone is hurt by a tree with an apple	ambiguously-correct
79	the person that is on the table is eating the food	the person is eating the food that is on the table	no-tag
80	the watering can is larger than the pot	the pot is larger than the watering can	no-tag
81	they hold a suitcase handle with their left hand and they hold a passport with their right hand	they hold a passport with their left hand and they hold a suitcase handle with their right hand	complex-reasoning
82	the person with the patterned shirt is curly-haired and the other is straight-haired	the person with the patterned shirt is straight-haired and the other is curly-haired	ambiguously-correct
83	a diagram showing movement from right to left	a diagram showing movement from left to right	complex-reasoning
84	the flip flops are too big for these feet	the feet are too big for these flip flops	unusual-image
85	the person who is wearing a crown is kissing a frog	the person is kissing a frog who is wearing a crown	no-tag
86	a dog sitting on a couch with a person lying on the floor	a person lying on a couch with a dog sitting on the floor	ambiguously-correct
87	The uncaged bird has an opened cage door	The caged bird has an unopened cage door	no-tag
88	meat with potatoes	potatoes with meat	ambiguously-correct
89	the person in pink was close to not winning	the person in pink was not close to winning	no-tag
90	two humans and one wheel	two wheels and one human	no-tag
91	clothing on lines	lines on clothing	no-tag
92	someone talks on the phone angrily while another person sits happily	someone talks on the phone happily while another person sits angrily	no-tag
93	two boats and one direction down the stream	one boat and two directions down the stream	complex-reasoning
94	The dog rides without a visible tongue	The dog rides with a visible tongue out	no-tag
95	handing a hammer	hammering a hand	non-compositional
96	leaves its shedding	shedding its leaves	non-compositional
97	they are using no bait but still got fish	they are using bait but still got no fish	visuallydifficult
98	someone on the ground is spraying water towards a vehicle	someone is on a vehicle spraying water towards the ground	no-tag
99	the dog wears as a hat what someone would normally bite	the dog bites what someone would normally wear as a hat	no-tag
100	the happy one is on the left and the upset one is on the right	the upset one is on the left and the happy one is on the right	no-tag
101	fake mustache and real hair on head	real mustache and fake hair on head	no-tag
102	real cat with toy baby	toy cat with real baby	no-tag
103	the lion is loud and the lionness is quiet	the lion is quiet and the lionness is loud	complex-reasoning
104	there is a pink couch with green pillows	there is a green couch with pink pillows	no-tag
105	light colored dog with dark colored cat	dark colored dog with light colored cat	no-tag
106	someone is wearing a black hat and yellow shirt	someone is wearing a yellow hat and black shirt	no-tag
107	black socks and orange shoes	orange socks and black shoes	no-tag
108	red building with white shutters	white building with red shutters	no-tag
109	blue pants and green top	green pants and blue top	no-tag
110	there's one blue and many yellow balls	there's one yellow and many blue balls	unusual-image
111	there are more silver coins than gold coins	there are more gold coins than silver coins	complex-reasoning
112	the red team kicking the ball directly next to the blue team	the blue team kicking the ball directly next to the red team	no-tag
113	black dog wearing a brown sweater	brown dog wearing a black sweater	ambiguously-correct
114	one green apple surrounded by a bunch of red apples	one red apple surrounded by a bunch of green apples	unusual-image
115	person in white is reading the orange book	person in orange is reading the white book	no-tag
116	the children are being quiet while the adult is loud	the children are being loud while the adult is quiet	visuallydifficult
117	the circular mirror is on the left and the rectangular mirror is on the right	the rectangular mirror is on the left and the circular mirror is on the right	no-tag
118	circular food on heart-shaped wood	heart-shaped food on circular wood	visuallydifficult
119	the dress on the left is long and the dress on the right is short	the dress on the left is short and the dress on the right is long	ambiguously-correct
120	the balloon in the middle has less air and the other balloons have more air	the balloon in the middle has more air and the other balloons have less air	no-tag
121	the pool has no people and the area around it has a lot of people	the pool has a lot of people and the area around it has no people	ambiguously-correct
122	big fish beside a small person	small fish beside a big person	no-tag
123	the train is moving fast while the person is still	the train is still while the person is moving fast	no-tag
124	they're enjoying hot water on a cold day	they're enjoying cold water on a hot day	no-tag
125	concrete floors with wood walls	wood floors with concrete walls	no-tag
126	the person on the left has curly hair and the person on the right has straight hair	the person on the left has straight hair and the person on the right has curly hair	no-tag
127	there's a metal bottle with a plastic lid	there's a plastic bottle with a metal lid	no-tag
128	the fruit is heavy while the junk food is light	the fruit is light while the junk food is heavy	complex-reasoning
129	the car is sitting upside down while the person is standing rightside up	the car is sitting rightside up while the person is standing upside down	no-tag
130	the cup on the left is filled first and the cup on the right is filled second	the cup on the left is filled second and the cup on the right is filled first	complex-reasoning
131	milk cow	cow milk	ambiguously-correct
132	there is a clock wall	there is a wall clock	ambiguously-correct
133	there is a split banana	there is a banana split	non-compositional
134	there are two people and a bunch of horses	there are a bunch of people and two horses	visuallydifficult
135	three white and two brown eggs	two white and three brown eggs	complex-reasoning
136	the plastic is in the fish	the fish is in the plastic	unusual-image
137	the dog's paw is on the cat's face	the cat's paw is on the dog's face	no-tag
138	the computer's screen is on and the phone's screen is off	the phone's screen is on and the computer's screen is off	visuallydifficult
139	the dog is in the driver's seat and the person is in the passenger's seat	the dog is in the passenger's seat and the person is in the driver's seat	no-tag
140	there are more trees than people	there are more people than trees	no-tag
141	there are more computers than people	there are more people than computers	no-tag
142	there is more wood than metal	there is more metal than wood	no-tag
143	there are more hats than people	there are more people than hats	complex-reasoning
144	there are more people than stools	there are more stools than people	complex-reasoning
145	there is more red wine than white wine	there is more white wine than red wine	no-tag
146	there's more milk than coffee	there's more coffee than milk	no-tag
147	there's more cereal in the bowl than milk	there's more milk in the bowl than cereal	no-tag
148	boat sail	sail boat	ambiguously-correct
149	boat house	house boat	non-compositional
150	check a rip	rip a check	non-compositional
151	dress the display	display the dress	no-tag
152	spoon holding honey	honey holding spoon	unusual-text
153	books holding up a person	a person holding up books	no-tag
154	a dog is using a wheelchair next to a person	a person is using a wheelchair next to a dog	no-tag
155	some plants surrounding a lightbulb	a lightbulb surrounding some plants	unusual-image
156	a more lightly-colored dog is holding a toy next to a black dog	a black dog is holding a toy next to a more lightly-colored dog	unusual-text
157	the flowers are taller than the people	the people are taller than the flowers	no-tag
158	there's a human in a stroller next to a dog	there's a dog in a stroller next to a human	no-tag
159	a person is casting a shadow beside a ball	a ball is casting a shadow beside a person	visuallydifficult
160	its tail is shorter than its body	its body is shorter than its tail	no-tag
161	the child is throwing the adult the ball	the adult is throwing the child the ball	no-tag
162	a person underneath lights	lights underneath a person	no-tag
163	some green on the ball	the ball on some green	visuallydifficult
164	mind in the clouds	clouds in the mind	non-compositional
165	there's a phone on a map	there's a map on a phone	no-tag
166	a person on a rock next to a dog	a dog on a rock next to a person	no-tag
167	an adult is flexing beside a child	a child is flexing beside an adult	no-tag
168	the person is looking at the dog	the dog is looking at the person	no-tag
169	a cat is underneath a red blanket	a red blanket is underneath a cat	no-tag
170	the person is bigger than the house	the house is bigger than the person	no-tag
171	the person is underneath the car	the car is underneath the person	no-tag
172	the water is filled with plastic	the plastic is filled with water	visuallydifficult
173	an apple is on a target	a target is on an apple	no-tag
174	plant made out of a light bulb	light bulb made out of a plant	unusual-image
175	parent pointing at child	child pointing at parent	no-tag
176	the person reached the base before the ball	the ball reached the base before the person	visuallydifficult
177	ice being dumped on top of fish	fish being dumped on top of ice	no-tag
178	an adult kisses a child	a child kisses an adult	no-tag
179	there's a dog in a mask and a person beside it	there's a dog and a person in a mask beside it	no-tag
180	the baby on the phone is next to an adult	the baby is next to an adult on the phone	no-tag
181	the person on the left has their arms up and the person on the right has their arms down	the person on the right has their arms up and the person on the left has their arms down	no-tag
182	the person on the left is holding the phone and the person on the right is staring at it	the person on the right is holding the phone and the person on the left is staring at it	visuallydifficult
183	the orange on the left is moldy while the orange on the right is fresh	the orange on the right is moldy while the orange on the left is fresh	no-tag
184	a pink scoop of ice cream on top and a blue scoop on bottom	a pink scoop of ice cream on bottom and a blue scoop on top	no-tag
185	the glasses on the right are fuller than the glasses on the left	the glasses on the left are fuller than the glasses on the right	no-tag
186	the person on the left is blowing bubbles and the person on the right is watching	the person on the right is blowing bubbles and the person on the left is watching	no-tag
187	there's more foam on the left than on the right	there's more foam on the right than on the left	visuallydifficult
188	a fish is jumping from left to right	a fish is jumping from right to left	unusual-image
189	they worked out then they drank water	they drank water then they worked out	ambiguously-correct
190	the shrimp are peeled then the shrimp are cooked	the shrimp are cooked then the shrimp are peeled	complex-reasoning
191	the coffee is poured before it is ground	it is ground before the coffee is poured	complex-reasoning
192	the potato is washed and then it is cut	the potato is cut and then it is washed	complex-reasoning
193	the banana is peeled then it is sliced	the banana is sliced then it is peeled	complex-reasoning
194	the dog is swimming and the person is standing	the dog is standing and the person is swimming	no-tag
195	the person is jumping while the cat is sitting	the person is sitting while the cat is jumping	no-tag
196	a cat is lying down and a person is stretching	a cat is stretching and a person is lying down	no-tag
197	some people are standing but more are sitting	some people are sitting but more are standing	no-tag
198	The kid throws the pancake and the adult sees it	The kids see the pancake and the adult throws it	unusual-text
199	painting gray walls white	painting white walls gray	complex-reasoning
200	a shorter person wearing blue standing next to a taller person	a taller person wearing blue standing next to a shorter person	visuallydifficult
201	a person wearing a bear mask in blue on the left hand side of a person wearing a panda mask with glasses in pink	a person wearing a panda mask with glasses in blue on the left hand side of a person wearing a bear mask in pink	unusual-image
202	a car containing many a box	a box containing many a car	no-tag
203	left is red and right is blue	left is blue and right is red	unusual-image
204	many a table tennis racket, just one ball	just one table tennis racket, many a ball	unusual-image
205	four lions, no tigers	no lions, four tigers	no-tag
206	a small spherical object is heavier than a big spherical object	a big spherical object is heavier than a small spherical object	complex-reasoning
207	an older person blocking a younger person	a younger person blocking an older person	no-tag
208	white land and black water	black land and white water	complex-reasoning
209	the cube is smaller than the shape whose lateral faces meet at a vertex	the shape whose lateral faces meet at a vertex is smaller than the cube	complex-reasoning
210	more bicycles than cars	more cars than bicycles	complex-reasoning
211	there are more apples than pears	there are more pears than apples	complex-reasoning
212	there is more love than hate	there is more hate than love	no-tag
213	more water than oil	more oil than water	no-tag
214	a person cries while another person wearing jewelry above their shoulders consoles	a person consoles while another person wearing jewelry above their shoulders cries	visuallydifficult
215	a person with long hair eating a meat-based product while a person with short hair snacks on some fries	a person with short hair eating a meat-based product while a person with long hair snacks on some fries	unusual-text
216	water below the boat	boat below the water	no-tag
217	the one in front is faster than the other one	the other one is faster than the one in front	complex-reasoning
218	You can catch more flies with honey than you can with vinegar	You can catch more flies with vinegar than you can with honey	non-compositional
219	It starts with "A" and ends with "Z"	It starts with "Z" and ends with "A"	complex-reasoning
220	a shadow within the line	a line within the shadow	ambiguously-correct
221	the brave in the face of fear	fear in the face of the brave	ambiguously-correct
222	I need my strength back	I need my back strength	non-compositional
223	the one in the middle is taller than the ones on the side are	the ones on the side are taller than the one in the middle is	unusual-image
224	fish flying	fly fishing	non-compositional
225	the red car is behind the blue car	the blue car is behind the red car	no-tag
226	the driver wearing a shirt is in front of the other person wearing a sleeveless top	the driver wearing a sleeveless top is in front of the other person wearing a shirt	visuallydifficult
227	an object that rolls is on some wood	some wood is on an object that rolls	visuallydifficult
228	a cat viewing a human on a screen	a human viewing a cat on a screen	complex-reasoning
229	a normal person wishing they were a superhero	a superhero wishing they were a normal person	unusual-text
230	a mike in the right hand while raising the left	a mike in the left hand while raising the right	complex-reasoning
231	a person with long hair behind a person with a beard	a person with a beard behind a person with long hair	no-tag
232	the person with hair to their shoulders has brown eyes and the other person's are blue	the person with hair to their shoulders has blue eyes and the other person's are brown	visuallydifficult
233	a human being on a device that intercepts the sun's rays	a device that intercepts the sun's rays on a human being	unusual-text
234	more humans than phones	more phones than humans	complex-reasoning
235	a person is in the tube	a tube is in the person	non-compositional
236	the person's head is above the rest of their body	the rest of their body is above the person's head	no-tag
237	person overboard	person over board	non-compositional
238	more red buttons than blue	more blue buttons than red	complex-reasoning
239	the object at the top left is purple and the one at the bottom right of the group is red	the object at the bottom right is purple and the one at the top left of the group is red	unusual-image
240	flat at the bottom and pointy on top	flat on top and pointy at the bottom	no-tag
241	seat numbers increasing from left to right	seat numbers increasing from right to left	visuallydifficult
242	the number on the right is larger than the number on the left	the number on the left is larger than the number on the right	no-tag
243	more hair on the person's face than on their head	more hair on the person's head than on their face	no-tag
244	the knife on the left and the fork on the right	the knife on the right and the fork on the left	no-tag
245	food on their eyes	eyes on their food	unusual-image
246	cars of bits	bits of cars	non-compositional
247	a person on top of the world	the world on top of a person	unusual-image
248	two people; the one on the right has curly hair and the one on the left doesn't	two people; the one on the left has curly hair and the one on the right doesn't	no-tag
249	first the cream, then the jam	first the jam, then the cream	no-tag
250	more kisses than hugs	more hugs than kisses	no-tag
251	an inflatable flamingo on a person	a person on an inflatable flamingo	no-tag
252	a pink bird with a white beak	a white bird with a pink beak	no-tag
253	a large pink inflatable flamingo along with some other lilos on the water including one that is mostly white	a large white inflatable flamingo along with some other lilos on the water including one that is mostly pink	no-tag
254	there are more eyes in the image than there are on a typical human	there are more eyes on a typical human than there are in the image	unusual-image
255	the confident doctor's stethoscope is around their neck, and their jacket is over their name tag	the confident doctor's stethoscope is around their neck, and their name tag is over their jacket	visuallydifficult
256	few wind turbines and many clouds	few clouds and many wind turbines	no-tag
257	an adult is reading to their young child	their young child is reading to an adult	no-tag
258	the shopping basket is full and the shelves on the person's right are empty	the shelves on the person's right are full and the shopping basket is empty	no-tag
259	Young person playing baseball with a green bat and blue ball	Young person playing baseball with a blue bat and green ball	no-tag
260	painting the white wall red	painting the red wall white	no-tag
261	wearing a red jacket over blue	wearing a blue jacket over red	no-tag
262	I had cleaned my car	I had my car cleaned	ambiguously-correct
263	unfortunate poor people	poor unfortunate people	ambiguously-correct
264	there are less gloves than masks	there are less masks than gloves	no-tag
265	there are more pineapples than boxes	there are more boxes than pineapples	no-tag
266	the outer bristles are blue and the inner ones are white	the outer bristles are white and the inner ones are blue	no-tag
267	the first vowel is E and the last consonant is N	the last vowel is E and the first consonant is N	no-tag
268	the cat on the left of the photo has its right paw ahead of its left	the cat on the left of the photo has its left paw ahead of its right	visuallydifficult
269	the text is black on white	the text is white on black	no-tag
270	the dog sits and the cat stands	the dog stands and the cat sits	no-tag
271	the person with facial hair cycles and the other person runs	the person with facial hair runs and the other person cycles	no-tag
272	using the laptop while the guitar is close by	using the guitar while the laptop is close by	no-tag
273	a person in a blue coat with a brown-ish coffee cup	a person in a brown-ish coat with a blue coffee cup	no-tag
274	space in a star	a star in space	non-compositional
275	star of death	death of star	non-compositional
276	the younger person is making noise while the other is silent	the younger person is silent while the other is making noise	no-tag
277	the one on the left is happy and the other is sad	the one on the left is sad and the other is happy	unusual-image
278	the person on the left is dancing and the person on the very right is sitting on the sofa	the person on the left is sitting on the sofa and the person on the very right is dancing	no-tag
279	the person on the left is crying sadly while the one on the right is smiling happily	the person on the left is smiling happily while the one on the right is crying sadly	no-tag
280	the large person is drinking from the small coffee cup	the small person is drinking from the large coffee cup	unusual-image
281	hot rubber and cool metal	cool rubber and hot metal	no-tag
282	the triangular shape is beneath the square one	the square shape is beneath the triangular one	no-tag
283	rough outside but smooth inside	smooth outside but rough inside	no-tag
284	the green one is fast and the one in white is comparatively slow	the green one is slow and the one in white is comparatively fast	no-tag
285	there are more humans than balls	there are more balls than humans	no-tag
286	there are more legs than wheels	there are more wheels than legs	visuallydifficult
287	a group of three people with longer hair and two with short hair in a business context	a group of two people with longer hair and three with short hair in a business context	ambiguously-correct
288	the gesture of the person sitting down is supporting the understanding of the person standing up	the gesture of the person standing up is supporting the understanding of the person sitting down	no-tag
289	the circle is above the cross	the cross is above the circle	no-tag
290	aerial view of a green tree in the brown freshly turned soil next to a green field	aerial view of a green tree in a green field next to the brown freshly turned soil	no-tag
291	physical therapist inspecting blue elastic therapeutic kinesio tape over pink	physical therapist inspecting pink elastic therapeutic kinesio tape over blue	no-tag
292	the skipping rope color is different to the shoelaces but similar to the shoes	the skipping rope color is similar to the shoelaces but different to the shoes	no-tag
293	the blue balloon is being lifted by the weight	the weight is being lifted by the blue balloon	unusual-image
294	the sea is rough but the rocks are smooth	the sea is smooth but the rocks are rough	no-tag
295	the melting white food is cold while the brown is warm	the melting white food is warm while the brown is cold	ambiguously-correct
296	the person with a beard is smiling while the person with long hair is not	the person with long hair is smiling while the person with a beard is not	complex-reasoning
297	the pet on the right is white and the one on the left is not	the pet on the left is white and the one on the right is not	no-tag
298	the outlet carrying water from the faucet to the shower head is near the hot tap not the cold	the outlet carrying water from the faucet to the shower head is near the cold tap not the hot	complex-reasoning
299	the larger ball is heavier and the smaller one is lighter	the larger ball is lighter and the smaller one is heavier	complex-reasoning
300	The adult with the magnifying glass looks at the kid	The adult looks at the kid with the magnifying glass	ambiguously-correct
301	a dog is on a blanket with spots	a blanket is on a dog with spots	no-tag
302	There is a mouse cake for a birthday	There is a birthday cake for a mouse	no-tag
303	The cold-blooded animal isn't happy in warm water	The warm-blooded animal isn't happy in cold water	ambiguously-correct
304	The white queen is taking the black king	The black queen is taking the white king	complex-reasoning
305	visiting animals at home can be fun	animals visiting at home can be fun	ambiguously-correct
306	the person is not happy with the cat	the cat is not happy with the person	no-tag
307	the person is too big for the small door	the door is too small for the big person	ambiguously-correct
308	a taller person is covering the eyes of a shorter person	a shorter person is covering the eyes of a taller person	no-tag
309	the plant is eating the bug	the bug is eating the plant	no-tag
310	every bug has a leaf	every leaf has a bug	ambiguously-correct
311	the green leaves will soon be red as the seasons change	the red leaves will soon be green as the seasons change	complex-reasoning
312	the white wall will soon be painted blue	the blue wall will soon be painted white	complex-reasoning
313	the moon prevents the sun's rays from falling on the earth	the earth prevents the sun's rays from falling on the moon	no-tag
314	all paper airplanes fly on a straight path except for one which takes a curved one	all paper airplanes fly on a curved path except for one which takes a straight one	no-tag
315	the person is too big for the pants	the pants is too big for the person	no-tag
316	a kid jumped then threw a basketball	a kid threw a basketball then jumped	complex-reasoning
317	one cheerlearder supporting multiple cheerleaders	multiple cheerleaders supporting one cheerlearder	no-tag
318	two persons wearing one scarf	one person wearing two scarfs	no-tag
319	human head on pet	pet head on human	ambiguously-correct
320	the cow is over the moon	the moon is over the cow	no-tag
321	someone babys a pet	someone pets a baby	non-compositional
322	cat house	house cat	ambiguously-correct
323	gold for pan	pan for gold	unusual-text
324	water for plants	plants for water	unusual-text
325	the businessperson's down fall	the businessperson's fall down	non-compositional
326	outswam the person in the red swimcap	the person in the red swimcap swamout	non-compositional
327	manning a ship	shiping a mann	non-compositional
328	the person wearing a sweater stands in front of the person who isn't wearing a sweater	the person who isn't wearing a sweater stands in front of the person wearing a sweater	no-tag
329	a person without glasses pushes a person with glasses sitting in a box	a person with glasses pushes a person without glasses sitting in a box	no-tag
330	what is green will soon be yellow	what is yellow will soon be green	complex-reasoning
331	soon this animal not with a tail will have one	soon this animal with a tail will not have one	complex-reasoning
332	a mouse is touching a dog	a dog is touching a mouse	ambiguously-correct
333	fishing for compliments	compliments for fishing	non-compositional
334	that person dusting off their hands	that person hands off their dusting	non-compositional
335	a person wearing black shoes cleaning a bookshelf with an orange duster while a person wearing green shoes drinks wine from an orange glass and relaxes	a person wearing green shoes cleaning a bookshelf with an orange duster while a person wearing black shoes drinks wine from an orange glass and relaxes	visuallydifficult
336	a person with short hair is happily ironing a light blue shirt while a person with long hair sits on a white couch	a person with long hair is happily ironing a light blue shirt while a person with short hair sits on a white couch	complex-reasoning
337	yellow duck shoes on	yellow duck on shoes	no-tag
338	child in front facing row of yellow rubber ducks	front facing child in row of yellow rubber ducks	no-tag
339	a bird cooking a person	a person cooking a bird	no-tag
340	a person wearing yellow and a person wearing stripes jumping	a jumping person wearing yellow and a person wearing stripes	ambiguously-correct
341	a person wearing yellow with their feet in the air and a person wearing stripes	a person wearing stripes with their feet in the air and a person wearing yellow	no-tag
342	darker things become light in stripes	light things in stripes become darker	complex-reasoning
343	together hammering something	hammering something together	ambiguously-correct
344	A person sits next to a baby using an orange screwdriver to assemble a white piece of furniture	A baby sits next to a person using an orange screwdriver to assemble a white piece of furniture	ambiguously-correct
345	a worker in a yellow hat uses a drill to the left of where the opening in the wall is	the opening in the wall is to the left of where a worker in a yellow hat uses a drill	no-tag
346	A small animal with curled hair	A curled small animal with hair	unusual-text
347	A right hand pulls a glove onto a left hand	A left hand pulls a glove onto a right hand	complex-reasoning
348	A dog and a person with their feet hanging out of a car window	A dog with their feet hanging out of a car window and a person	ambiguously-correct
349	A person whispering into a dog's ear	A dog whispering into a person's ear	no-tag
350	one ear that some donkey is whispering a secret into	donkey ear that some one is whispering a secret into	non-compositional
351	walking someone cut lines into green plants	someone walking lines cut into green plants	unusual-text
352	a volcano above water makes steam	water above a volcano makes steam	visuallydifficult
353	A child riding a bike and an adult	A child and an adult riding a bike	ambiguously-correct
354	an adult putting a helmet on a child	a child putting a helmet on an adult	unusual-text
355	An adult wearing purple lying next to a child	An adult lying next to a child wearing purple	ambiguously-correct
356	a fencer who is wearing black pants having a point scored against them by another fencer using a wheelchair	a fencer having a point scored against them by another fencer who is wearing black pants using a wheelchair	ambiguously-correct
357	a person with long braids is exercising in front of a person without braids	a person without braids is exercising in front of a person with long braids	no-tag
358	in the stadium, the person wearing gray outperformed the one wearing blue	in the stadium, the person wearing blue outperformed the one wearing gray	complex-reasoning
359	butchering white meat while wearing yellow but not red	butchering red meat while wearing white but not yellow	unusual-text
360	a child with a fake beard and an adult	an adult with a fake beard and a child	no-tag
361	on halloween, a child dressed as an insect is to the right of a child dressed as a mammal	on halloween, a child dressed as a mammal is to the right of a child dressed as an insect	complex-reasoning
362	a modern office complex with many windows above a nicely landscaped lawn	a nicely landscaped lawn above a modern office complex with many windows	no-tag
363	a tree is partially inside a parked car	a parked car is partially inside a tree	ambiguously-correct
364	some are parking in a train	some are training in a park	non-compositional
365	an athlete running on water	water running on an athlete	non-compositional
366	a horse getting wet	getting a horse wet	no-tag
367	the glasses full of water are above the person's head and leg	the person's head and leg are above the glasses full of water	no-tag
368	a person is touching the head of a squirrel	a squirrel is touching the head of a person	no-tag
369	a deer's nose is resting on a child's hand	a child's hand is resting on a deer's nose	no-tag
370	two sparklers for one hand	one sparkler for two hands	no-tag
371	an animal giving a person food	a person giving an animal food	complex-reasoning
372	a spider towering over a dog	a dog towering over a spider	no-tag
